sector_hours,utilization,capacity,load_factor
ENKRTAWC_2200_2300_E,0,12,0.0
ENKRTAWC_2300_2400_E,0,12,0.0
ENMLTALL_0000_0100_E,0,20,0.0
ENMLTALL_0100_0200_E,0,20,0.0
ENMLTALL_0200_0300_E,0,20,0.0
ENMLTALL_0300_0400_E,0,20,0.0
ENMLTALL_0400_0500_E,0,20,0.0
ENMLTALL_0500_0600_E,0,20,0.0
ENMLTALL_0600_0700_E,0,20,0.0
ENMLTALL_0700_0800_E,0,20,0.0
ENMLTALL_0800_0900_E,0,20,0.0
ENMLTALL_0900_1000_E,0,20,0.0
ENMLTALL_1000_1100_E,0,20,0.0
ENMLTALL_1100_1200_E,0,20,0.0
ENMLTALL_1200_1300_E,0,20,0.0
ENMLTALL_1300_1400_E,0,20,0.0
ENMLTALL_1400_1500_E,0,20,0.0
ENMLTALL_1500_1600_E,0,20,0.0
ENMLTALL_1600_1700_E,0,20,0.0
ENMLTALL_1700_1800_E,0,20,0.0
ENMLTALL_1800_1900_E,0,20,0.0
ENMLTALL_1900_2000_E,0,20,0.0
ENMLTALL_2000_2100_E,0,20,0.0
ENMLTALL_2100_2200_E,0,20,0.0
ENMLTALL_2200_2300_E,0,20,0.0
ENMLTALL_2300_2400_E,0,20,0.0
ESGGTE_0000_0100_E,0,30,0.0
ESGGTE_0100_0200_E,0,30,0.0
ESGGTE_0200_0300_E,0,30,0.0
ESGGTE_0300_0400_E,0,30,0.0
ESGGTE_0400_0500_E,0,30,0.0
ESGGTE_0500_0600_E,0,30,0.0
ESGGTE_0600_0700_E,0,30,0.0
ESGGTE_0700_0800_E,0,30,0.0
ESGGTE_0800_0900_E,0,30,0.0
ESGGTE_0900_1000_E,0,30,0.0
ESGGTE_1000_1100_E,0,30,0.0
ESGGTE_1100_1200_E,0,30,0.0
ESGGTE_1200_1300_E,0,30,0.0
ESGGTE_1300_1400_E,0,30,0.0
ESGGTE_1400_1500_E,0,30,0.0
ESGGTE_1500_1600_E,0,30,0.0
ESGGTE_1600_1700_E,0,30,0.0
ESGGTE_1700_1800_E,0,30,0.0
ESGGTE_1800_1900_E,0,30,0.0
ESGGTE_1900_2000_E,0,30,0.0
ESGGTE_2000_2100_E,0,30,0.0
ESGGTE_2100_2200_E,0,30,0.0
ESGGTE_2200_2300_E,0,30,0.0
ESGGTE_2300_2400_E,0,30,0.0
ESGGTW_0000_0100_E,0,30,0.0
ESGGTW_0100_0200_E,0,30,0.0
ESGGTW_0200_0300_E,0,30,0.0
ESGGTW_0300_0400_E,0,30,0.0
ESGGTW_0400_0500_E,0,30,0.0
ESGGTW_0500_0600_E,0,30,0.0
ESGGTW_0600_0700_E,0,30,0.0
ESGGTW_0700_0800_E,0,30,0.0
ESGGTW_0800_0900_E,0,30,0.0
ESGGTW_0900_1000_E,0,30,0.0
ESGGTW_1000_1100_E,0,30,0.0
ESGGTW_1100_1200_E,0,30,0.0
ESGGTW_1200_1300_E,0,30,0.0
ESGGTW_1300_1400_E,0,30,0.0
ESGGTW_1400_1500_E,0,30,0.0
ESGGTW_1500_1600_E,0,30,0.0
ESGGTW_1600_1700_E,0,30,0.0
ESGGTW_1700_1800_E,0,30,0.0
ESGGTW_1800_1900_E,0,30,0.0
ESGGTW_1900_2000_E,0,30,0.0
ESGGTW_2000_2100_E,0,30,0.0
ESGGTW_2100_2200_E,0,30,0.0
ESGGTW_2200_2300_E,0,30,0.0
ESGGTW_2300_2400_E,0,30,0.0
ESOS12679_0000_0100_E,0,25,0.0
ESOS12679_0100_0200_E,0,25,0.0
ESOS12679_0200_0300_E,0,25,0.0
ESOS12679_0300_0400_E,0,25,0.0
ESOS12679_2000_2100_E,0,25,0.0
ESOS12679_2100_2200_E,0,25,0.0
ESOS12679_2200_2300_E,0,25,0.0
ESOS12679_2300_2400_E,0,25,0.0
ESSAW_0430_0500_E,0,28,0.0
ESSAW_0500_0600_E,0,55,0.0
ESSAW_0600_0700_E,0,55,0.0
ESSAW_0700_0800_E,0,55,0.0
ESSAW_0800_0900_E,0,55,0.0
ESSAW_0900_1000_E,0,55,0.0
ESSAW_1000_1100_E,0,55,0.0
ESSAW_1100_1200_E,0,55,0.0
ESSAW_1200_1300_E,0,55,0.0
ESSAW_1300_1400_E,0,55,0.0
ESSAW_1400_1500_E,0,55,0.0
ESSAW_1500_1600_E,0,55,0.0
ESSAW_1600_1700_E,0,55,0.0
ESSAW_1700_1800_E,0,55,0.0
ESSAW_1800_1900_E,0,55,0.0
LECPIAX_0500_0550_E,0,25,0.0
LECPIAX_0550_0700_E,0,35,0.0
LECPIAX_0700_0800_E,0,30,0.0
LECPIAX_0800_0900_E,0,30,0.0
LECPIAX_0900_1000_E,0,30,0.0
LECPIAX_1000_1100_E,0,30,0.0
LECPIAX_1100_1200_E,0,30,0.0
LECPIAX_1200_1300_E,0,30,0.0
LECPIAX_1300_1400_E,0,30,0.0
LECPIAX_1400_1500_E,0,30,0.0
LECPIAX_1500_1600_E,0,30,0.0
LECPIAX_1600_1700_E,0,30,0.0
LECPIRX_0500_0550_E,0,25,0.0
LECPIRX_0550_0700_E,0,35,0.0
LECPIRX_0700_0800_E,0,30,0.0
LECPIRX_0800_0900_E,0,30,0.0
LECPIRX_0900_1000_E,0,30,0.0
LECPIRX_1000_1100_E,0,30,0.0
LECPIRX_1100_1200_E,0,30,0.0
LECPIRX_1200_1300_E,0,30,0.0
LECPIRX_1300_1400_E,0,30,0.0
LECPIRX_1400_1500_E,0,30,0.0
LECPIRX_1500_1600_E,0,30,0.0
LECPIRX_1600_1700_E,0,30,0.0
LKAAIALL_0000_0100_E,0,30,0.0
LKAAIALL_0100_0200_E,0,30,0.0
LKAAIALL_0200_0300_E,0,30,0.0
LKAAIALL_0300_0400_E,0,30,0.0
LKAAIALL_0400_0500_E,0,30,0.0
LKAAIALL_0500_0600_E,0,30,0.0
LKAAIALL_0600_0700_E,0,30,0.0
LKAAIALL_0700_0800_E,0,30,0.0
LKAAIALL_0800_0900_E,0,30,0.0
LKAAIALL_0900_1000_E,0,30,0.0
LKAAIALL_1000_1100_E,0,30,0.0
LKAAIALL_1100_1200_E,0,30,0.0
LKAAIALL_1200_1300_E,0,30,0.0
LKAAIALL_1300_1400_E,0,30,0.0
LKAAIALL_1400_1500_E,0,30,0.0
LKAAIALL_1500_1600_E,0,30,0.0
LKAAIALL_1600_1700_E,0,30,0.0
LKAAIALL_1700_1800_E,0,30,0.0
LKAAIALL_1800_1900_E,0,30,0.0
LKAAIALL_1900_2000_E,0,30,0.0
LKAAIALL_2000_2100_E,0,30,0.0
LKAAIALL_2100_2200_E,0,30,0.0
LKAAIALL_2200_2300_E,0,30,0.0
LKAAIALL_2300_2400_E,0,30,0.0
BIRDES_0000_0100_E,0,33,0.0
BIRDES_0100_0200_E,0,33,0.0
BIRDES_0200_0300_E,0,33,0.0
BIRDES_0300_0400_E,0,33,0.0
BIRDES_0400_0500_E,0,33,0.0
BIRDES_0500_0600_E,0,33,0.0
BIRDES_0600_0700_E,0,33,0.0
BIRDES_0700_0800_E,0,33,0.0
BIRDES_0800_0900_E,0,33,0.0
BIRDES_0900_1000_E,0,33,0.0
BIRDES_1000_1100_E,0,33,0.0
BIRDES_1100_1200_E,0,33,0.0
BIRDES_1200_1300_E,0,33,0.0
BIRDES_1300_1400_E,0,33,0.0
BIRDES_1400_1500_E,0,33,0.0
BIRDES_1500_1600_E,0,33,0.0
BIRDES_1600_1700_E,0,33,0.0
BIRDES_1700_1800_E,0,33,0.0
BIRDES_1800_1900_E,0,33,0.0
BIRDES_1900_2000_E,0,33,0.0
BIRDES_2000_2100_E,0,33,0.0
BIRDES_2100_2200_E,0,33,0.0
BIRDES_2200_2300_E,0,33,0.0
BIRDES_2300_2400_E,0,33,0.0
BIRDSS_0000_0100_E,0,45,0.0
BIRDSS_0100_0200_E,0,45,0.0
BIRDSS_0200_0300_E,0,45,0.0
BIRDSS_0300_0400_E,0,45,0.0
BIRDSS_0400_0500_E,0,45,0.0
BIRDSS_0500_0600_E,0,45,0.0
BIRDSS_0600_0700_E,0,45,0.0
BIRDSS_0700_0800_E,0,45,0.0
BIRDSS_0800_0900_E,0,45,0.0
BIRDSS_0900_1000_E,0,45,0.0
BIRDSS_1000_1100_E,0,45,0.0
BIRDSS_1100_1200_E,0,45,0.0
BIRDSS_1200_1300_E,0,45,0.0
BIRDSS_1300_1400_E,0,45,0.0
BIRDSS_1400_1500_E,0,45,0.0
BIRDSS_1500_1600_E,0,45,0.0
BIRDSS_1600_1700_E,0,45,0.0
BIRDSS_1700_1800_E,0,45,0.0
BIRDSS_1800_1900_E,0,45,0.0
BIRDSS_1900_2000_E,0,45,0.0
BIRDSS_2000_2100_E,0,45,0.0
BIRDSS_2100_2200_E,0,45,0.0
BIRDSS_2200_2300_E,0,45,0.0
BIRDSS_2300_2400_E,0,45,0.0
LEBLCORE_0415_0430_E,0,10,0.0
DAAATNE_0000_0100_E,0,42,0.0
DAAATNE_0100_0200_E,0,42,0.0
DAAATNE_0200_0300_E,0,42,0.0
DAAATNE_0300_0400_E,0,42,0.0
DAAATNE_0400_0500_E,0,42,0.0
DAAATNE_0500_0600_E,0,42,0.0
DAAATNE_0600_0700_E,0,42,0.0
DAAATNE_0700_0800_E,0,42,0.0
DAAATNE_0800_0900_E,0,42,0.0
DAAATNE_0900_1000_E,0,42,0.0
DAAATNE_1000_1100_E,0,42,0.0
DAAATNE_1100_1200_E,0,42,0.0
DAAATNE_1200_1300_E,0,42,0.0
DAAATNE_1300_1400_E,0,42,0.0
DAAATNE_1400_1500_E,0,42,0.0
DAAATNE_1500_1600_E,0,42,0.0
DAAATNE_1600_1700_E,0,42,0.0
DAAATNE_1700_1800_E,0,42,0.0
DAAATNE_1800_1900_E,0,42,0.0
DAAATNE_1900_2000_E,0,42,0.0
DAAATNE_2000_2100_E,0,42,0.0
DAAATNE_2100_2200_E,0,42,0.0
DAAATNE_2200_2300_E,0,42,0.0
DAAATNE_2300_2400_E,0,42,0.0
EBBUEEC_0500_0530_E,0,19,0.0
EBBUEEC_0530_0600_E,0,19,0.0
EBBUEEC_0600_0620_E,0,13,0.0
EBBUEEC_0700_0800_E,0,37,0.0
EBBUEEC_0800_0820_E,0,13,0.0
EBBUEEC_0820_0900_E,0,25,0.0
EBBUEEC_0900_1000_E,0,37,0.0
EBBUEEC_1000_1100_E,0,37,0.0
EBBUEEC_1100_1200_E,0,37,0.0
EBBUEEC_1200_1300_E,0,37,0.0
EBBUEEC_1300_1400_E,0,37,0.0
EBBUEEC_1400_1500_E,0,37,0.0
EBBUEEC_1500_1600_E,0,37,0.0
EBBUEEC_1600_1630_E,0,19,0.0
EBBUEEC_1730_1800_E,0,19,0.0
EBBUEEC_1800_1900_E,0,37,0.0
EBBUEEC_1900_2000_E,0,37,0.0
EBBUEHS_0620_0700_E,0,27,0.0
EBBUEHS_1630_1700_E,0,20,0.0
EBBUEHS_1700_1730_E,0,20,0.0
EBBUELS_0620_0700_E,0,26,0.0
EBBUELS_1630_1700_E,0,20,0.0
EBBUELS_1700_1730_E,0,20,0.0
EBBUESC_0000_0100_E,0,40,0.0
EBBUESC_0100_0200_E,0,40,0.0
EBBUESC_0200_0300_E,0,40,0.0
EBBUESC_0300_0400_E,0,40,0.0
EBBUESC_0400_0500_E,0,40,0.0
EBBUESC_2000_2100_E,0,40,0.0
EBBUESC_2100_2200_E,0,40,0.0
EBBUESC_2200_2300_E,0,40,0.0
EBBUESC_2300_2400_E,0,40,0.0
EBBUHLC_0500_0530_E,0,20,0.0
EBBUHLC_0620_0700_E,0,26,0.0
EBBUHLC_0700_0800_E,0,39,0.0
EBBUHLC_0800_0820_E,0,13,0.0
EBBUHLC_0820_0900_E,0,26,0.0
EBBUHLC_0900_1000_E,0,39,0.0
EBBUHLC_1000_1100_E,0,39,0.0
EBBUHLC_1100_1200_E,0,39,0.0
EBBUHLC_1200_1300_E,0,39,0.0
EBBUHLC_1300_1400_E,0,39,0.0
EBBUHLC_1400_1500_E,0,39,0.0
EBBUHLC_1500_1600_E,0,39,0.0
EBBUHLC_1600_1630_E,0,20,0.0
EBBUHLC_1630_1700_E,0,20,0.0
EBBUHLC_1700_1730_E,0,20,0.0
EBBUHLC_1730_1800_E,0,20,0.0
EBBUHLC_1800_1900_E,0,39,0.0
EBBUHLC_1900_2000_E,0,39,0.0
EBBUHUS_0530_0600_E,0,18,0.0
EBBUHUS_0600_0620_E,0,12,0.0
EBBULUS_0530_0600_E,0,19,0.0
EBBULUS_0600_0620_E,0,13,0.0
EBBUNLS_0620_0700_E,0,25,0.0
EBBUNLS_0700_0800_E,0,37,0.0
EBBUNLS_0800_0820_E,0,13,0.0
EBBUNLS_1630_1700_E,0,19,0.0
EBBUNLS_1700_1730_E,0,19,0.0
EBBUNWC_0530_0600_E,0,19,0.0
EBBUNWC_0600_0620_E,0,13,0.0
EBBUNWC_0820_0900_E,0,26,0.0
EBBUNWC_0900_1000_E,0,38,0.0
EBBUNWC_1000_1100_E,0,38,0.0
EBBUNWC_1100_1200_E,0,38,0.0
